glider_sn, 1012
deployment_number, 3
fin_type, radome
glider_type, G3
length_days, 67.88472222222222
launch_datetime, 2023-12-13T19:46:00
end_datetime, 2024-02-19T17:00:00
log file,open time,disconnect,in-mission,data transfer drop,flight xfer drop,science xfer drop,other data xfer drop
ce_1012_20231223T115253_network_net_0.log,2023-12-23T11:52:53,True,True,False,False,False,False
ce_1012_20231223T145258_network_net_0.log,2023-12-23T14:52:58,True,True,False,False,False,False
ce_1012_20231223T174147_network_net_0.log,2023-12-23T17:41:47,False,True,False,False,False,False
ce_1012_20231223T210032_network_net_0.log,2023-12-23T21:00:32,False,True,True,True,False,False
ce_1012_20231223T233631_network_net_1.log,2023-12-23T23:36:31,False,True,False,False,False,False
ce_1012_20231224T025909_network_net_0.log,2023-12-24T02:59:09,False,True,True,False,True,False
ce_1012_20231224T054443_network_net_0.log,2023-12-24T05:44:43,True,True,False,False,False,False
ce_1012_20231224T085436_network_net_0.log,2023-12-24T08:54:36,True,True,False,False,False,False
ce_1012_20231224T115101_network_net_0.log,2023-12-24T11:51:01,True,True,False,False,False,False
ce_1012_20231224T145446_network_net_0.log,2023-12-24T14:54:46,False,True,True,False,True,False
ce_1012_20231224T234245_network_net_1.log,2023-12-24T23:42:45,False,True,True,False,True,False
ce_1012_20231225T025841_network_net_0.log,2023-12-25T02:58:41,True,True,False,False,False,False
ce_1012_20231225T053059_network_net_0.log,2023-12-25T05:30:59,True,True,False,False,False,False
ce_1012_20231225T090701_network_net_0.log,2023-12-25T09:07:01,True,True,False,False,False,False
ce_1012_20231225T150905_network_net_0.log,2023-12-25T15:09:05,False,True,True,False,True,False
ce_1012_20231225T151434_network_net_0.log,2023-12-25T15:14:34,False,True,False,False,False,False
ce_1012_20231225T151610_network_net_0.log,2023-12-25T15:16:10,True,False,False,False,False,False
ce_1012_20231225T191650_network_net_0.log,2023-12-25T19:16:50,False,True,True,True,False,False
ce_1012_20231225T231602_network_net_0.log,2023-12-25T23:16:02,True,True,False,False,False,False
ce_1012_20231226T014026_network_net_0.log,2023-12-26T01:40:26,True,True,False,False,False,False
